Store,SKU,PN,URL,display_size,display_resolution,touchscreen,processor_brand,processor_family,processor_model,processor_speed,processor_cores,operating_system,storage_capacity,std_ram
Staples.com,1924600,10E9000SUS,http://www.staples.com/Lenovo-ThinkCentre-M83-2GHz-Processor-500GB-Hard-Drive-4GB-RAM-Windows-Desktop/product_1924600,,,,,,,,,,,
PcConnection,18226913,10E9000TUS,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2.0ghz-core-i5-8gb-ram-500gb-hard-drive/10e9000tus/18226913?cac=Result,,,,,,,,,,,
PcConnection,18117987,10E9000UUS,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2ghz-core-i5-4gb-ram-256gb-hard-drive/10e9000uus/18117987?cac=Result,,,,,,,,,,,
Staples.com,IM1YB4762,10E9000UUS,http://www.staples.com/Lenovo-ThinkCentre-M83-256-GB-2-GHz-4-GB-Windows-Desktop/product_1924605,,,,,,,,,,,
PcConnection,18362843,10E9000VUS,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2.2ghz-core-i7-4gb-ram-500gb-hard-drive/10e9000vus/18362843?cac=Result,,,,,,,,,,,
PcConnection,18226921,10E9000WUS,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2.2ghz-core-i7-8gb-ram-500gb-hard-drive/10e9000wus/18226921?cac=Result,,,,,,,,,,,
PcConnection,18142189,10E9000XUS,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2.2ghz-core-i7-8gb-ram-256gb-hard-drive/10e9000xus/18142189?cac=Result,,,,,,,,,,,
PcConnection,17957191,10E90010US,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2.2ghz-core-i7-4gb-ram-180gb-hard-drive/10e90010us/17957191?cac=Result,,,,,,,,,,,
Staples.com,1923804,10E90010US,http://www.staples.com/Lenovo-ThinkCentre-M83-180-GB-2-2-GHz-4-GB-Windows-Desktop/product_1923804,,,,,,,,,,,
PcConnection,23730997,10E9001GUS,http://www.pcconnection.com/product/lenovo-topseller-thinkcentre-m83-2.9ghz-core-i3-4gb-ram-120gb-hard-drive/10e9001gus/23730997?cac=Result,,,,,,,,,,,
